Tên tiếng Việt,Tên khoa học,Tên đồng nghĩa,Họ thực vật,Công dụng,Phân bố,Mùa hoa quả
"Xạ hương thảo, Cỏ xạ hương",Thymus vulgaris L.,0,Lamiaceae,"Cảm, đau đầu, bụng trướng lạnh đau, điều kinh, bạch đới (Lá).",Lao Cai (Sa Pa). Cây nhập trồng.,VI-X (H) 
"Kê nước, Cỏ cựa gà, Cỏ ống, Cỏ gừng",Panicum repens L.,Ischaemum importunum Lour.,Hòa thảo – Poaceae,"Chữa sản hậu có sốt và ra máu âm đạo, đái buốt, đái ra máu, rắn cắn (thân rễ).",Phổ biến ở nhiều nơi.,Tháng 5 – 7.
Hạ lân lá nhỏ,Hypolepis tenuifolia (G. Forst.) Bernh. – Lonchitis tenuifolia Forst.,0,Dennstaedtiaceae,Chữa áp se (Lá giã đắp).,Cây mọc tự nhiên,0
"Me rừng, Chùm ruột núi, Mận rừng, Cam lam, Trám rừng, Chùm ruột rừng, Me quả tròn, Mắc kham, Mạy kham (Tày), Diều cam (Dao), Xi xa liên (Kho)",Phyllanthus emblica L.,0,Euphorbiaceae,"Nước ăn chân, sưng yết hầu, cảm mạo, sốt, đái đường (Quả). Rắn cắn (Vỏ cây).","Lào Cai, Hà Giang, Tuyên Quang, Sơn La, Quảng Trị, Thừa Thiên Huế, Đắk Lắk, Lâm Đồng. Cây hạn sinh, mọc tự nhiên ở các trảng cây bụi dưới rừng thưa rụng lá, đồi trọc, trên đất sa phiến thạch ở độ cao 100-500 m ở Việt Nam.",III-V; 5-8 
"Trạch lan, Co làm sái (Thái)",Vernonia anthelmintica (L.) Willd.,0,Asteraceae,"Trị giun sán, bệnh ngoài da (Lá).","Lai Châu, Sơn La, Lạng Sơn. Cây mọc tự nhiên trên các trảng cỏ, ở độ cao 400-1200 m.",IX-XII 
Lãnh công (có) lông,Fissistigma bicolor (Roxb.) Merr. – Uvaria bicolor Roxb.,0,Na (Annonaceae),Thân cây dùng chữa đau dạ dày (Kinh nghiệm của dân tộc Thái – tỉnh Nghệ An).,"(Tam Đảo Vĩnh Phúc), Thừa Thiên Huế (Phú Lộc, Nam Đông), Kon Tum, Gia Lai, Đắk Lắk. Bụi trườn, mọc rải rác trong rừng nguyên sinh, vùng thấp, nơi ẩm.",Tháng V-VIII; 8-10
"Cau rừng, Cau tam hùng",Areca triandra Roxb. ex Buch.-Ham.,0,Cau – Arecaceae,"Dùng ăn trầu, làm thuốc như Cau nhà – Areca catechu L. (quả)","Kon Tum (Đắk Glei, Đắk Long), Đắk Lắk, Khánh Hòa (Nha Trang), Bình Thị(Phan Thiết, núi Polnglu), Đồng Nai (Biên Hòa), Bà Rịa-Vũng Tàu (Núi Đinh), Kiên Giang (Phú Quốc), Bạc Liêu (Giá Rai).",Tháng 3 – 8.
Nấm tổ ong lông thô,Hexagonia apiaria (Pers.) Fr.,"Poluporus apiarius Pers., Hexagonia wightii KL.",Nấm vân chi – Coriolaceae,Chữa đau dạ dày khí (thể quả).,"Lai Châu, Lào Cai, Yên Bái, Tuyên Quang, Bắc Kạn, Thái Nguyên, Lạng Sơn, Quảng Ninh, Bắc Giang, Ninh Bình, Thanh Hóa, Nghệ An, Hà Tĩnh, Quảng Bình, Thừa Thiên Huế, Đà Nẵng, Quảng Nam, Lâm Đồng, Khánh Hòa, Ninh Thuận, Bình Thuận, Tây Ninh.",0
Dây mối,Stephania hernandifolia (Willd.) Spreng. – Cissampelos hernandifolia Willd.,0,Stephania Tiết dê (Menispermaceae),"Chữa đái dắt, đái buốt, bụng báng, sốt, ỉa chảy (Rễ, Lá).","Lào Cai, Hà Tây, Ninh Bình, Đà Nẵng, Ninh Thuận, Đồng Nai. Cây mọc tự nhiên rải rác khắp các vùng núi và trung du.",I-V; 5-8
Mạ mân,Aganope balansae (Gagnep.) P.K.Lộc,0,Đậu – Fabaceae,"Chữa bệnh gan, vàng da (gỗ thân, rễ).","Mới thấy ở vùng Đông Bắc Việt Nam, Hòa Bình (Kim Bôi, Mai Châu, Đà Bắc).",Tháng 7.
Ráng bò,Davallia repens (L.f.) Kuhn – Adiantum repens L.f.; Humata repens (L.f.) Diels,0,Davalliaceae,"Thanh nhiệt, thấp khớp (Thân, rễ).","Rất rộng. Cây mọc tự nhiên, phụ sinh trên cây gỗ, trên đá vùng núi từ 100 – 1500m",0
"Chiên chiến, Chiêng chiếng, Vang xoan, Giềng giềng, Móc mèo, Múi biển","Caesalpinia crista L. (Guilandina nuga L., G. paniculata Lam., Caesalpinia panic(Lam.) Roxb.)",0,Vang – Caesalpiniaceae,"Chữa sốt, kiết lỵ, ho (hạt); sỏi thận, bàng quang (rễ)","Hà Nội, Hải Phòng, Ninh Bình, Nghệ An, Quảng Trị, Đà Nẵng, Khánh Hòa, Đồng Nai, Tp. Hồ Chí Minh, Long An, Kiên Giang.","Hoa tháng 1 – 5, quả tháng 8 – 10."
Mại liễu lông,Miliusa velutina (A. DC.) Hook.f. et Thoms. – Uvaria velutina Dunal,0,Annonaceae,"Viêm xoang, bệnh ngoài da (Vỏ).","Lâm Đồng (Bảo Lộc), Tây Ninh (Núi Bà Đen), Bà Rịa Vũng Tàu, An Giang. Cây mọc tự nhiên rải rác trong rừng nguyên sinh, rừng thứ sinh, ở độ cao dưới 300 m",0
Da gà,Actephila anthelminthica Gagnep.,0,Họ thực vật: thầu dầu (Euphorbiaceae),"Thuốc trị giun, sán (Rễ).","Ninh Thuận (Cà Ná). Cây mọc tự nhiên trong rừng thường xanh trên đất cuội kết, ở độ cao tới 300 m. Loài đặc hữu của Việt Nam.",12
"Rau má lá to, Rau má rừng, Rau má núi, Nhả sạp (Thái)",Hydrocotyle nepalensis Hook. – H. polycephala Wight. & Arn.,0,Apiaceae,"Giải nhiệt, khí hư, cầm máu, rắn cắn (cả cây giã nước uống, bã đắp).","Sơn La, Lạng Sơn, Cao Bằng, Hoà Bình, Ninh Bình, Hà Tĩnh, Lâm Đồng, Khánh Hoà, Ninh Thuận. Cỏ bò, mọc thành đám lớn dưới tán rừng, ven rừng, chỗ ẩm ướt, ven suối, nơi sáng, ở mọi độ cao đến 1500 m.",VI-X
"Châu thụ, Lão quan thảo, Thạch nam",Gaultheria fragrantissima Wall.,0,Đỗ quyên (Ericaceae),"Chữa tê thấp. Thuốc sát trùng, lợi trung tiện (Lá, quả).","Hà Giang (Đồng Văn), Lào Cai (Than Uyên). Cây mọc tự nhiên. Đã đưa vào sách đỏ Việt Nam ở khung phân hạng (VU)",Tháng 7-12
Tai thỏ,Delphinium anthriscifolium Hance,0,Ranunculaceae,"Phong thấp, đau nhức. Dùng ngoài chữa mụn nhọt, chốc đầu (Chú ý – cây độc).","Bắc Cạn. Cây mọc tự nhiên trong rừng ẩm, ở độ cao 500 – 1.600m",0
Nhót trườn,Elaeagnus sarmentosa Rehd.,0,Elaeagnaceae.,"Ho, viêm ruột (Rễ, lá).","Lạng Sơn (Mẫu Sơn), Vĩnh Phúc. Cây mọc tự nhiên trên các trảng cây gỗ.",I-II
"Hoa phấn, Sâm ớt, Bông phấn",Mirabilis jalapa L.,0,Nyctaginaceae,"Băng huyết, bạch đới, hạ nhiệt, đái đường, sưng vú, bổ (Rễ sắc uống). Hoa chữa ho ra máu. Rễ (củ) còn chữa viêm amygdal, viêm đường tiết niệu, viêm tiền liệt tuyến, đái ra dưỡng trấp, băng huyết, kinh nguyệt không đều, tạng khớp cấp; dùng ngoài chữa viêm vú, đinh nhọt và viêm mủ da.","Cây mọc tự nhiên, còn được trồng ở nhiều địa phương để làm cảnh.",V-X; 7-12
"Củ mài núi.Tên gọi khác: Bụm nai (Kho), Mằn mỏ (Tày)",Dioscorea japonica Thunb.,0,Củ nâu (Dioscoreaceae),"Bổ phổi, thận, chữa di tinh, thổ tả (củ).","Hà Giang, Hòa Bình, Ninh Bình. Cây mọc tự nhiên rải rác ven rừng, trong rừng mưa mùa, rừng lá rộng thường xanh.",X – VI 
"Thổ phục linh, Khúc khắc, Drạng lò (Châu mạ), Tơ pớt (KHo), Lái (KDong), Cẩu ngỗ lực, Khau đâu (Tày), Mọt hoi đòi (Dao)",Smilax glabra Wall. ex Roxb.,0,Smilacaceae,"Tê thấp, nhọt độc, giang mai, bệnh viêm đại tràng, viêm thận, viêm bàng quang, đau bụng, ỉa chảy (Thân rễ).","Cây mọc tự nhiên ven trảng cây bụi, rừng thứ sinh, ven suối, sườn đồi, ở độ cao 500-1.500 m. Loài hiếm, đã được đưa vào Sách Đỏ Việt Nam",V-XII
"Mạch đen, Mạch ba góc, Lúa mạch đen, Kiều mạch, Khẩu mẹc, Cooc, Mẹc slam (Tày), Phàm co mẹ (Dao)",Fagpyrum esculentum Moench.,0,Polygonaceae,"Huyết áp cao, đái đường (Hoa).","Lào Cai, Hà Giang, Bắc Cạn. Cây trồng trên nương rẫy, ở độ cao 200-1.400 m.",11-12 
Mật mông hoa,Buddleia officinalis Maxim.,0,Buddlejaceae,"Đau mắt, đau mắt đỏ, chữa thong manh (Hoa sắc uống). Cành lá và vỏ rễ làm thuốc chữa phong thấp.","Lào Cai, Cao Bằng, Thái Nguyên. Cây mọc tự nhiên trong vùng núi đá vôi.","II-IV, 5-8"
Tử châu lá dài,Callicarpa longifolia Lam.,0,Verbenaceae,"Đau bụng, sốt (Lá). Giang mai, ỉa chảy (Rễ).","Lào Cai (Sa Pa), Hoà Bình, Vĩnh Phúc, Quảng Nam, Gia Lai, Đồng Nai. Cây mọc tự nhiên, rải rác trong rừng thứ sinh, ở độ cao tới 1.500 m.",V-VIII; 9-12
"Lục lạc lá ổi, Thóc lép đeo, Tràng quả đeo",Desmodium sequax Wall.,0,Fabaceae,"Sốt rét, cầm máu vết thương, tiêu viêm (cành, lá). Rễ chữa thấp khớp, bổ hư sát trùng, chống ho ngăn suyễn.","Lào Cai, Lai Châu, Cao Bằng, Thanh Hoá. Cây mọc tự nhiên ở bãi cỏ ven đường, trảng cỏ và cây bụi, ở độ cao 200-1600 m.",10-12
"Thù du, Sơn thù du",Cornus officinalis Sieb.& Zucc.,0,Thù du – Conaceae,"Chữa phong thấp, tê thấp, đau lưng, mỏi gối, tai ù, thận suy, đi tiểu nhiều (quả chín).",Cây trồng ở các vườn thuốc.,0
"Quýt, Quất thực, Mạy cam chĩa (Tày), Cam chảy ten (Dao)",Citrus reticulata Blanco,0,Rutaceae,"Khó tiêu, kém ăn, ho, trĩ, sa đì, sốt rét (Vỏ quả khô sắc uống).","Cây trồng khắp nơi của Việt Nam, nhưng nhiều ở Cao Bằng, Lạng Sơn, Hà Giang.",VII-XII
Cói vảy xoắn,Cyperus michelianus (L.) Delile – Scirpus michelianus L.,0,Họ thực vật: Cói (Cyperaceae),"Chữa đau bụng kinh, điều kinh (cả cây).","Quảng Ninh, Hà Nội. Cây mọc tự nhiên ở vùng đồng bằng, trong các trảng cỏ.",1-7
"Lòng mức hoa đỏ, Chao, Xo cho",Wrightia dubia (Sims) Spreng. – Wrightia rubriflora Pitard; Cameraria dubia Sims,0,Apocynaceae,Lá sắc uống có tác dụng lợi tiểu.,"Thừa Thiên Huế, Kon Tum. Cây mọc rải rác trong rừng thường xanh.",III-VII; 4-9 
"Hải châu, Phiên hạch",Sesuvium portulacastrum (L.) L. – Portulaca portulacastrum L.,0,Aizoaceae,Chữa cảm cúm.,"Quảng Ninh, Đà Nẵng, Khánh Hoà, Đồng Nai. Cây mọc tự nhiên rải rác ở bãi cát vùng ven biển.",I-XII
Thông thiên,Cascabela thevetia (L.) Lippold – Thevetia peruviana (Pers.) K. Schum.,0,Apocynaceae,"Trợ tim (Hạt chứa thevetin pha thuốc tiêm). Bệnh ngoài da (Hạt bôi ngoài).Cây độc, chú ý khi dùng.","Cây trồng trong các công viên, vườn hoa.",X-II
Chỉ thiên mềm,Elephantopus mollis H.B.K. – E. bondinieri Gagnep. ,0,Cúc (Asteraceae),"Mề đay, mẩn ngứa, đái buốt và diệt virus (cả cây).","Cây mọc tự nhiên ở rừng thưa, rừng thông, phổ biến ở các tỉnh Tây Nguyên.",V-VII; 7-11
Quyển trục thảo,Thuarea involuta (G.Forst.) R.Br. ex Sm.,0,Poaceae,Đau đầu (cả cây).,Khánh Hòa. Cây mọc tự nhiên trên cát dọc bờ biển,0
"Hoàng thanh, Dây cát ken, Dây một, Dây xanh lông",Cocculus sarmentosus (Lour.) Diels – Nephroia sarmentosa Lour.,0,Menispermaceae,"Sưng hầu họng, viêm thận phù thũng, sỏi niệu đạo, đau dây thần kinh hông, chấn thương đau nhức, nhọt độc (Rễ).","Quảng Nam, Đà Nẵng, Hà Tây, Ninh Bình, Quảng Bình, Quảng Trị, Thừa Thiên Huế, Lâm Đồng. Cây mọc tự nhiên rải rác ven rừng.",XI-IV
Kiều hoa,Calanthe puberula Lindl.,0,Lan – Orchidaceae,"Dùng làm thuốc thanh nhiệt, tả hỏa (rễ).","Lâm Đồng (Lạc Dương, Lang Bian).",0
Trường sinh nguyên,Kalanchoe integra (Medic.) Kuntze,0,Crassulaceae,"Hầu họng sưng đau, sốt chu kỳ, xổ (Lá).",Cây thường được trồng làm cảnh. Nguồn gốc có lẽ từ Ấn Độ.,X-XII
"Rọc rạch, Hầu đậu, Xoan đậu",Radermachera sinica (Hance) Hemsl. – Sterospermum sinicum Hance,0,Bignoniaceae,"Sốt, đau bụng kinh, phong thấp, đau dạ dày, thủy thũng, đòn ngã tổn thương, rắn độc cắn (Rễ, lá).","Ninh Bình, Quảng Bình, Quảng Trị, Thừa Thiên Huế. Cây mọc tự nhiên trong rừng ẩm, ở độ cao 400-1500 m.","VI-IX, 10-1"
"Lạc tiên, Chùm bao, Dây nhãn lồng, Co hồng tiên (Thái), Dây lưới, Mấm nêm, Mò pì, Mác quánh mon (Tày)",Passiflora foetida L.,0,Passifloraceae,"Thuốc an thần, gây ngủ, điều kinh, chữa suy nhược thần kinh, ho, phù thũng (Cả cây sắc uống). Lá giã đắp ngoài chữa ung nhọt, lở loét ở chân, viêm mủ da. Toàn cây chữa bỏng lửa, bỏng nước sôi. Ở Ấn Độ, nước sắc của lá chữa bệnh thiếu mật, hen suyễn; lá đắp chữa váng đầu.",Cây mọc tự nhiên phổ biến khắp nơi ở Việt Nam.,III-VIII; 4-11
Húng trắng,Ocimum basilicum L. var. pilosum (Willd.) Benth. – Ocimum pilosum Willd.,0,Lamiaceae,"Chữa ho, viêm họng, nhức đầu, đau bụng, ỉa chảy, dị ứng, mẩn ngứa, cảm mạo, phong thấp, phong hàn, đau dạ dày (Cành lá). Hạt làm thuốc giải khát, nhuận tràng.","Hà Giang, Hoà Bình, Đà Nẵng, Kon Tum, Khánh Hòa. Cây mọc tự nhiên nơi ẩm.",7-12
"Long thuyền, Cẩm thủy nam bộ, Thủy cẩm hung",Nosema cochinchinensis (Lour.) Merr. – Dracocephalum cochinchinensis Lour.,0,Lamiaceae,"Viêm gan, đau mắt, cảm sốt (cả cây).","Nghệ An, Thanh Hóa, Quảng Nam, Đà Nẵng. Cây mọc tự nhiên trên các bãi hoang, ven rừng, ở độ cao dưới 1000 m.",X-XII; 1-2
Hàm liên,Marsdenia tenacissima (Roxb.) Moon. – Asclepias tenacissima Roxb.,0,Asclepiadaceae,"Đau bụng, nhuận tràng, xổ (Lá). Viêm nhánh khí quản (Rễ).","Cây mọc tự nhiên ở Gia Lai, Đắk Lắk, An Giang",0
Gõ mật,Sindora siamensis Teijsm. ex Miq.,0,Caesalpiniaceae,"Chữa viêm phế quản, ỉa chảy, lỵ (Vỏ).","Kon Tum, Gia Lai, Đắk Lắk, Sông Bé. Cây mọc tự nhiên trong rừng rậm thường xanh và nửa rụng lá, rừng thưa cây họ Dầu, ở độ cao tới 900 m. Loài quý hiếm (EN) đã được đưa vào Sách Đỏ Việt Nam.",III-IV; 7-9
"Huyết đằng, Hồng đằng, Dây máu, Đại huyết đằng",Sargentodoxa cuneata (Oliv.) Rehd. & Wils.,0,Huyết đằng – Sargentodoxaceae,"Chữa thiếu máu, lưng gối đau mỏi, chân tay tê liệt, kinh nguyệt không đều, kinh bế, đau bụng, phong thấp, giun kim, giun đũa (thân gỗ).","Lào Cai (Sa Pa), Lạng Sơn, Thái Nguyên, Hà Nội (Ba Vì), Hòa Bình, Ninh Bình (Các Phương).",Tháng 3 – 10. 
"Lấu lông hoe, Co bôi",Psychotria siamica (Craib) Hutch. – Cephaelis siamica Craib,0,Rubiaceae,"Phong thấp, mụn nhọt, kinh nguyệt nhiều, trẻ em cam tích (Lá). Toàn cây chữa lỵ, viêm ruột, trĩ nội xuất huyết.","Cao Bằng, Lạng Sơn. Cây mọc tự nhiên.",VI-VII; 7-10 
"Rau mơ, Thúi địt",Paederia linearis Hook.f. – Paederia consimilis Pierre ex Pit. ,0,Rubiaceae,Đái đường (Lá),"Đồng Nai (Biên Hòa).Cây mọc tự nhiên rải rác ven đường, lùm bụi, nơi sáng.",III-IV
Bình vôi hải nam,Stephania hainanensis H. S. Lo et Y. Tsoong,0,Tiết dê (Menispermaceae),"An thần, giảm đau (Rễ củ).","Thanh Hóa, Hải Phòng. Cây mọc tự nhiên trong vùng núi đá vôi ẩm.",IV-V; 6-9
"Giáng ông, Bồng bồng, Huyết giác nam bộ",Dracaena cochinchinensis (Lour.) S.C. Chen – Aletris cochinchinensis Lour.,0,Dracaenaceae,"Chữa phong thấp, tê mỏi, bó gãy xương, hạ nhiệt (Lõi thân).","Quảng Ninh, Hà Nam, Nghệ An, Đà Nẵng, Quảng Trị, Bình Định. Cây mọc tự nhiên trên núi đá vôi.",II-V
Ré bắc bộ,Alpinia tonkinensis Gagnep.,0,Gừng – Zingiberaceae,"Chữa phong thấp tê đau (thân rễ), ngực bụng đau tức (hạt), dạ dày ấu thổ và ăn u không tiêu (quả).","Vĩnh Phúc (Tam Đảo), Hà Nam, Ninh Bình, Hà Nội (Ba Vì).","Hoa tháng 5 – 7, quả tháng 7 – 10."
"Chiêu liêu, Chiêu liêu đồng, Kha tử",Terminalia chebula Retz.,0,Combretaceae.,"Chữa iả chảy, ho khản tiêng, ra mồ hôi trộm, trĩ, di tinh, xích bạch đới (Quả).",Cây mọc tự nhiên trong rừng thứ sinh ở các tỉnh phía Nam nước ta.,V-X
"Sẻn gai, Đắng cay",Zanthoxylum armatum DC. – Zanthoxylum planispinum Sieb. & Zucc.,0,Rutaceae,"Phong thấp, đau răng, đau bụng kinh, giun đũa, cảm mạo, ho, hen do phong hàn, rắn cắn (Quả, rễ).","Lao Cai (Sa Pa), Cao Bằng. Cây mọc tự nhiên, thường gặp ở ven suối, độ cao khoảng 1.300 m.",V-VI; 8-9
Kim cang xanh,Smilax prolifera Roxb.,0,Smilacaceae,"Chữa phong thấp, chống viêm, đái buốt (Thân rễ).","Lào Cai, Hà Nội, Khánh Hòa (Nha Trang). Cây mọc tự nhiên, rải rác ven rừng thứ sinh, ven suối, sườn đồi, ở độ cao 500-1.600 m.",0
Trạng nguyên,Euphorbia pulcherrima Willd.,0,Euphorbiaceae,"Vết thương (Lá giã đắp). Rắn rết cắn, bệnh đường ruột (cả cây).","Nguyên gốc từ Trung Mỹ, được dùng làm cảnh, làm hàng rào phổ biến khắp nơi ở Việt Nam.",XI-III 
Rong võng gân,Dictyopteris membranacea (Stackh.) Batt.,0,Rong võng – Dictyotaceae,Có chất gây mê (tản).,Quảng Ninh và Khánh Hòa (Nha Trang).,0
Mỳ tinh rừng,Curcuma elata Roxb.,0,Zingiberaceae,"Đau bụng khi có kinh, sốt cao hoảng loạn, hoàng đản (Rễ củ).","Lâm Đồng. Cây mọc tự nhiên dưới tán rừng thưa, ẩm.",IV.
"Lăng trang, Mui, Muồi",Prismatomeris tetrandra (Roxb.) K.Schum. – Prismatomeris javanica (Valet.) Ridl.,0,Rubiaceae,"Bổ máu (Gỗ). Rễ chữa viêm phế quản, phong thấp viêm nhức khớp xương, viêm gan và có tác dụng kích dục.","Quảng Nam, Đà Nẵng, Đồng Nai, Tây Ninh. Cây mọc tự nhiên.",I-XI 
Minh điền rễ bất định,Medinilla radicans (Blume) Blume – Melastoma radicans Blume,0,Melastomaceae,"Đậu, sởi (Cành lá đun nước uống).","Khánh Hòa (Vọng Phu), Bà Rịa Vũng Tàu (Côn Đảo). Cây mọc phụ sinh, rải rác ven rừng, ở độ cao khoảng 1300 m",0
"Chà ran lông dày, Thiên liệu",Homalium bhamoense Cubitt et W.W. Sm. – Homalium tomentosum (Vent.) Benth.,0,Flacourtiaceae,"Thuốc rửa vết thương, làm se da thu liễm (Rễ).",Bà Rịa – Vũng Tàu (Núi Đinh). Cây mọc tự nhiên trong rừng thưa phục hồi sau nương rẫy,0
Kim cang lạc,Smilax aberrans Gagnep.,0,Smilacaceae,"Chữa phong thấp, chống viêm, đái buốt (Thân rễ).","Lào Cai (Sa Pa). Cây mọc tự nhiên, rải rác ven rừng thứ sinh, ở độ cao 500-1.600 m.",I 
"Phi điệp biển, Cỏ bồng đất mặn, Rau nhót",Suaeda maritima (L.) Dumort. – Chenopodium maritimum L.,0,Chenopodiaceae,"Nhuận tràng, lợi tiểu, chống bệnh Scorbut.","Cây mọc tự nhiên ở các chỗ ẩm, ven lạch nước lợ, ven sông hoặc ven biển khắp nước ta.",8-10
Ráng nhiều chân,Goniophlebium niponicum (mett.) Bedd. var. wattii Bedd.,0,Polypodiaceae.,"Viêm thận, viêm đường tiết niệu (cả cây).","Hẹp. Lai Châu, Lào Cai. Cây mọc tự nhiên, thường sống bám trên cây gỗ và vách hay khe đá giàu mùn trong rừng rậm thường xanh, ở độ cao 1200 – 1400m",0
Song quả,Amphicarpaea edgeworthii Benth.,0,Fabaceae,"Viêm nhánh khí quản (Rễ củ, quả).","Lâm Đồng (núi Bi Doup, Đà Lạt). Cây mọc tự nhiên trong các hàng rào, bờ bụi, ven rừng, các cồn cát, ở độ cao tới 2000 m",0
"Dầu giun, Cỏ hôi, Kinh giới đất, Rau muối dại",Chenopodium ambrosioides L.,0,Rau muối (Chenopodiaceae),"Chữa giun đũa, giun kim, giun móc (Dầu). Lá tiêu đờm, giảm suyễn và khô cổ. Lá tươi ép lấy nước rồi đun cách thủy – uống chữa đau dạ dày, hoặc hãm uống chữa đau thần kinh. Tinh dầu có độc, không dùng cho người già yếu và phụ nữ có thai.",Cây mọc tự nhiên ở vùng ven sông.,IV-VI
"Thích bắc bộ, Tích thụ bắc bộ, Mang thầu dầu, Có xám hảng (Thái)",Acer tonkinense Lecomte,0,Aceraceae,"Vỏ,lá sắc uống làm dịu cơn đau dạ dày. Thân, lá sắc lấy nước ngậm chữa viêm họng. Lá giã đắp chữa quai bị.","Hà Nam (Lạt Sơn), Ninh Bình, Nghệ An (Quế Phong), Thừa Thiên Huế (Bạch Mã)",7-9
Bồ kết tâyTên gọi khác:  Hợp hoan,Albizia lebbeck (L.) Benth. – Mimosa lebbeck L.,0,Mimosaceae,"Tả, lỵ (Vỏ, hạt). Gây ngủ, liền gân xương, rắn cắn, di tinh (Hoa).",Cây nhập trồng ở các thành phố. Nguyên sản có thể ở phần lục địa nhiệt đới châu Á.,7-11
"Xoan rừng, Sầu đâu cứt chuột, Nha đảm (tử), Sầu đâu rừng",Brucea javanica (L.) Merr. – Rhus javanica L.,0,Simaroubaceae,"Hạt chữa lỵ do amip, sốt rét, trĩ, trùng roi và giun đũa. Dùng ngoài chữa mụn cóc, chai chân.","Cây mọc tự nhiên rải rác trong các rừng còi, chân núi đá vôi, vùng ven biển, khá phổ biến ở Việt Nam.",I-V; 6-12
Ráng lớn,Cyathea gigantea (Wall. ex Hook.) Holtt. – Alsophila gigantea Wall. ex Hook.,0,Cyatheaceae,Phong thấp đau xương (cả cây).,"Cao Bằng, Lạng Sơn, Lao Cai, Sơn La, Quảng Trị, Thừa Thiên Huế, Đà Nẵng, Kon Tum, Lâm Đồng. Cây mọc tự nhiên trong rừng rậm thường xanh",0
"Chua me đất, Chua me núi",Oxalis acetosella L.,0,Oxalidaceae.,Lợi tiểu (cả cây). Chữa bệnh Scorbut.,Lào Cai (Sa Pa). Cây mọc tự nhiên ở độ cao 1500 m.,V-X
"Bồng nga truật, Lưỡi cọp, Củ ngải",Boesenbergia rotunda (L.) Mansf. – Cureuma rotunda L.,0,Zingiberaceae,"Chữa đau bụng, lợi tiểu, đau dạ dày, bạch đới, lỵ, bệnh về mồm miệng như lở loét áp tơ (Thân rễ).",Cây trồng.,VII-VIII
Song môi tàu,Miliusa sinensis Fin. et Gagnep.,0,Annonaceae,"Phong thấp đau xương, thận hư đau lưng (Rễ, thân).","Lạng Sơn (Đồng Mỏ), Hoà Bình, Sơn La. Cây mọc tự nhiên trong rừng thưa, rừng thứ sinh.",III-IV; 6-7
Cò cò,Pogostemon auricularius Hassk.,0,Hoa môi (Lamiaceae),"Chữa đau dạ dày, thận, rối loạn tiêu hóa, tê thấp, sốt rét, lở ngứa, eczema, rắn cắn (cả cây).","Lạng Sơn, Hòa Bình, Đà Nẵng, Phan Rang. Cây mọc tự nhiên nơi sáng và ẩm.",IX-XII
Cói quăn bông tròn,Fimbristylis globulosa (Retz.) Kunth – Scirpus globulosus Retz.,0,Cói (Cyperaceae),"Điều kinh, chữa phong thấp, đau nhức (cả cây)","Lai Châu, Lạng Sơn, Quảng Ninh tới Quảng Nam. Cây mọc tự nhiên ruộng ẩm.",4-9
"Hồng kỳ, Hoa chuông đỏ",Spathodea campanulata P. Beauv.,0,Bignoniaceae,"Đau dạ dày, viêm ruột, viêm đường tiết niệu (Vỏ sắc uống).",Cây nhập trồng ở thành phố Hồ Chí Minh.,VI-VII
Lạp mai,Chimonanthus praecox (L.) Link,"Calycanthus praecox L., Chimonanthus fragrans Lindl.",Lạp mai – Calycanthaceae,"Chữa nhiệt bệnh phiền khát, tức ngực, ho, bỏng lửa (nụ hoa); chữa háo suyễn, ho do lao thương, đau dạ dày, phong tê thấp (rễ, vỏ rễ).",Cây nhập trồng ở nhiều nơi.,Tháng 11 – 3. 
"Súm nguyên, Súm lông, Ngầu nền xà",Adiandra integerrima T. Anders. ex Dyer,0,Theaceae,Bong gân và rắn cắn (Lá).,Cây mọc tự nhiên ở rừng thứ sinh miền Bắc tới Tây Nguyên.,"IV-VI, 10-12"
"Củ gấu.Tên gọi khác : Cỏ gấu, Hương phụ, Cỏ cú, Nhả chông mu (Tày), Sa thảo",Cyperus rotundus L.,0,Cói (Cyperaceae),"Điều kinh, giải cảm, tiêu thực, huyết ứ, tiêu đờm, đau dạ dày, viêm tuyến vú; ngực, bụng đau, nhức đầu (Rễ củ sắc uống)",Cây mọc tự nhiên phổ biến khắp Việt Nam.,3-12
"Sâm tố nữTên gọi khác: Sâm tố nữ, Săn dây củ tròn, Kwao Krua Kwao, White Kwao Krua",Pueraria mirifica Airy Shaw et Suvat.,0,Đậu (Fabaceae),"Làm đẹp chống nếp nhăn, làm đen tóc và kích thích mọc tóc; giảm đục thủy tinh thể; hỗ trợ điều trị mất trí nhớ, tăng cường thể lực, tăng dẻo dai; tăng tuần hoàn máu và điều trị rối loạn giấc ngủ.","vùng núi Sơn La, Yên Bái, Thanh Hóa, Nghệ An",0
Cúc nghệ nâuTên tiếng Việt: Duyên cúc,Coreopsis lanceolata L.,0,Họ thực vật: Cúc (Asteraceae),Lá dùng chữa ho; giã đắp vết thương do dao chém.,Trồng làm cảnh. Nguồn gốc từ Bắc Mỹ,0
"Bí kỳ nam, Kỳ nam kiến, Củ tự nhiên",Hydnophytum formicarum Jack,0,Cà Phê (Rubiaceae),"Chữa viêm gan, mật, đau bụng, ho, đau nhức gân xương (Thân phù).","Thừa Thiên Huế (Nam Đông), Kon Tum, Gia Lai, Đắk Lắk, Đồng Nai, Bà Rịa – Vũng Tàu, Kiên Giang. Cây sống phụ sinh, thường gặp trong rừng ẩm thường xanh, rừng thứ sinh .",XII-I
